'a'de'li'an'bu'lao'di 阿德里安布劳迪
'a'er'bo'te'fen'ni 阿尔伯特芬尼
'a'li'xi'ya'ji'si 阿丽西娅吉丝
'a'nuo'shi'wa'xin'ge 阿诺施瓦辛格
'ai'de'ha'li'si 埃德哈里斯
'ai'lun'ai'er'da 艾伦艾尔达
'ai'lun'bo'si'ting 艾伦伯斯汀
'ai'mei'da'si'dan'dun 艾美达斯丹顿
'ai'mi'na'mu 艾米纳姆
'an'ji'li'na'zhu'li 安吉丽娜朱丽
'an'ni'ban'ke'luo'fu'te 安妮班克罗夫特
'an'ni'te'bei'ning 安妮特贝宁
'an'shi'nai'mei'hui 安室奈美惠
'an'zai'xu 安在旭
'ao'dai'li'he'ben 奥黛丽赫本
'ao'lan'duo'bu'lu'mu 奥兰多布鲁姆
'bai'yuan'chong 柏原崇
'bao'luo'niu'man 保罗纽曼
'bei'ke'han'mu 贝克汉姆
'ben'ai'fu'lai'ke 本艾弗莱克
'ben'jin'si'li 本金斯利
'ben'ni'xi'ao'de'er'tuo'luo 本尼西奥德尔托罗
'bi'ang'si'nuo'li'si 碧昂斯诺里斯
'bi'de'jie'ke'xun 彼得杰克逊
'bi'wei'er 彼威尔
'bin'qi'bu 滨崎步
'bu'la'de'pi'te 布拉德皮特
'bu'lan'ni'si'pi'er'si 布兰妮斯皮尔斯
'bu'lu'si'wei'li'si 布鲁斯威利斯
'cai'hong'yue'tuan 彩虹乐团
'cha'li'zi'sai'long 查理兹塞隆
'chang'pan'gui'zi 常盘贵子
'chao'ji'nan'hai 超级男孩
'che'ren'biao 车仁表
'che'tai'xuan 车太铉
'chen'mei 陈美
'chi'zhen'xi 池珍熙
'cui'zhen'shi 崔真实
'cui'zhi'you 崔智友
'da'wei'lin'qi 大卫林奇
'dai'an'lai'en 戴安莱恩
'dai'mi'mo'er 戴米摩尔
'dan'ni'er'dai'lu'yi'si 丹尼尔戴路易斯
'dan'ze'er'hua'sheng'dun 丹泽尔华盛顿
'dong'fang'shen'qi 东方神起
'fan'dao'ai 饭岛爱
'fan'ding'long'shi 反町隆史
'fei'si'xi'er 菲丝希尔
'fu'lan'xi'si'mai'ke'duo'men 弗兰西斯麦克多门
'fu'lang'xi'si'fu'te'ke'bo'la 弗朗西斯福特科波拉
'gao'yao'tai 高耀太
'ge'li'gao'li'pai'ke 格利高里派克
'ge'wen'ni'si'pa'te'luo 格温妮丝帕特洛
'gong'qi'jun 宫崎骏
'gong'teng'jing'xiang 工藤静香
'gong'ze'li'hui 宫泽理惠
'guang'mo'liang'zi 广末凉子
'ha'li'bei'rui 哈利贝瑞
'ha'li'sen'fu'te 哈里森福特
'hai'lun'heng'te 海伦亨特
'hai'lun'mi'lin 海伦米林
'he'li'xiu 河莉秀
'he'zhi'yuan 河智苑
'hei'mu'tong 黑木瞳
'hui'te'ni'xiu'si'dun 惠特尼休斯顿
'ji'mu'bu'lao'de'ben'te 吉姆布劳德本特
'ji'mu'kai'rui 吉姆凯瑞
'ji'nu'li'wei'si 基努里维斯
'jia'si'ting'ting'bu'lai'ke 贾斯汀汀布莱克
'jia'wei'er'ba'er'deng 贾维尔巴尔登
'jiang'kou'yang'jie 江口洋介
'jie'fu'bu'li'ji'si 杰夫布里吉斯
'jie'fu'li'la'shi 杰弗里拉什
'jie'ke'ni'ke'er'xun 杰克尼克尔逊
'jie'mi'fu'ke'si 杰米福克斯
'jie'mi'li'ke'di'si 杰米李柯蒂斯
'jin'bei'xin'ge 金贝辛格
'jin'he'na 金荷娜
'jin'lai'yuan 金来沅
'jin'nan'zhu 金南珠
'jin'shan'ya 金善雅
'jin'su'yan 金素妍
'jin'tai'xi 金泰熙
'jin'xi'shan 金喜善
'jin'xian'zhu 金贤珠
