'a'du 阿杜
'a'duo 阿朵
'a'li'lang 阿里郎
'a'mu 阿木
'a'qiu 阿丘
'a'sang 阿桑
'a'ya 阿雅
'ai'dai 爱戴
'an'hu 安琥
'an'you'qi 安又琪
'bai'han 柏含
'bai'ling 白灵
'bai'qing'lin 白庆琳
'bai'yan'song 白岩松
'bao'qing'tian 包青天
'bao'zheng 包拯
'bi'fu'jian 毕福剑
'cai'guo'quan 蔡国权
'cai'jian'ya 蔡健雅
'cai'kang'yong 蔡康永
'cai'ming 蔡明
'cai'qin 蔡琴
'cai'shao'fen 蔡少芬
'cai'yi'lin 蔡依林
'cao'fang 曹方
'cao'xi'wen 曹曦文
'cao'ying 曹颖
'cao'zheng 曹征
'chang'kuan 常宽
'chang'xiang'yu 常香玉
'chang'xiao'yang 常晓阳
'chen'bao'guo 陈宝国
'chen'bao'lian 陈宝莲
'chen'chong 陈冲
'chen'dao'ming 陈道明
'chen'de'rong 陈德容
'chen'guan'xi 陈冠希
'chen'hao 陈好
'chen'hao'min 陈浩民
'chen'hong 陈红
'chen'hui'lin 陈慧琳
'chen'hui'shan 陈慧珊
'chen'jian'bin 陈建斌
'chen'kai'ge 陈凯歌
'chen'kun 陈坤
'chen'li'li 陈莉莉
'chen'lin 陈琳
'chen'long 陈龙
'chen'lu'yu 陈鲁豫
'chen'ming 陈明
'chen'mu'sheng 陈木胜
'chen'pei'si 陈佩斯
'chen'rong'sen 陈荣森
'chen'xiao'chun 陈小春
'chen'xiao'dong 陈晓东
'chen'xiu'li 陈秀丽
'chen'yi'rong 陈怡蓉
'chen'yi'xun 陈奕迅
'chen'ying 陈滢
'chen'yu'fan 陈羽凡
'chen'zhao'rong 陈昭荣
'chen'zhi'peng 陈志朋
'cheng'lan 程兰
'cheng'long 成龙
'cheng'tai 成泰
'cui'jian 崔健
'cui'lin 崔林
'cui'yi 崔奕
'cui'yong'yuan 崔永元
'da'da'yue'dui 达达乐队
'dai'jun 戴军
'dai'pei'ni 戴佩妮
'dao'lang 刀郎
'deng'chao 邓超
'deng'cui'wen 邓萃雯
'deng'li'jun 邓丽君
'deng'zi'qi 邓紫棋
'di'ke'niu'zai 迪克牛仔
'di'long 狄龙
'ding'jian'hua 丁建华
'ding'zi'jun 丁子峻
'dong'hao 董浩
'dong'jie 董洁
'dong'ping 董平
